entity_id,entity_type,gender,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,source_id,source_row,status,notes,is_lexical_exception
ttn_012763,surname,male,Ирбаев,Ирбаев,Irbaev,Irbaev,zags_2025,ev_0014187,active,surname,false
ttn_012764,surname,female,Ирбаева,Ирбаева,Irbaeva,Irbaeva,zags_2025,ev_0014188,active,surname,false
ttn_012767,given,male,Ирбай,Ирбай,Irbay,Irbai,zags_2025,ev_0004231,active,given,false
ttn_012770,given,male,Ирбәк,Ирбек,Irbak,Irbek,zags_2025,ev_0004234,active,given,false
ttn_012771,surname,male,Ирбәков,Ирбеков,Irbakov,Irbekov,zags_2025,ev_0014189,active,surname,false
ttn_012772,surname,female,Ирбәкова,Ирбекова,Irbakova,Irbekova,zags_2025,ev_0014190,active,surname,false
ttn_012775,given,male,Ирбулат,Ирбулат,Irbulat,Irbulat,zags_2025,ev_0004237,active,given,false
ttn_012778,surname,male,Ирбулатов,Ирбулатов,Irbulatov,Irbulatov,zags_2025,ev_0014191,active,surname,false
ttn_012779,surname,female,Ирбулатова,Ирбулатова,Irbulatova,Irbulatova,zags_2025,ev_0014192,active,surname,false
ttn_012787,given,male,Иргази,Иргази,Irgazi,Irgazi,zags_2025,ev_0004240,active,given,false
ttn_012790,surname,male,Иргазыев,Иргазиев,Irgazyev,Irgaziev,zags_2025,ev_0014193,active,surname,false
ttn_012791,surname,female,Иргазыева,Иргазиева,Irgazyeva,Irgazieva,zags_2025,ev_0014194,active,surname,false
ttn_012796,given,male,Иргали,Иргали,Irgali,Irgali,zags_2025,ev_0004243,active,given,false
ttn_012799,surname,male,Иргалиев,Иргалиев,Irgaliev,Irgaliev,zags_2025,ev_0014195,active,surname,false
ttn_012800,surname,female,Иргалиева,Иргалиева,Irgalieva,Irgalieva,zags_2025,ev_0014196,active,surname,false
ttn_012803,given,male,Иргиз,Иргиз,Irgiz,Irgiz,zags_2025,ev_0004246,active,given,false
ttn_012806,surname,male,Иргизов,Иргизов,Irgizov,Irgizov,zags_2025,ev_0014197,active,surname,false
ttn_012807,surname,female,Иргизова,Иргизова,Irgizova,Irgizova,zags_2025,ev_0014198,active,surname,false
ttn_012815,given,male,Иргол,Иргул,Irgol,Irgul,zags_2025,ev_0004249,active,given,false
ttn_012816,surname,male,Ирголов,Иргулов,Irgolov,Irgulov,zags_2025,ev_0014199,active,surname,false
ttn_012817,surname,female,Ирголова,Иргулова,Irgolova,Irgulova,zags_2025,ev_0014200,active,surname,false
ttn_012820,given,male,Ирдәүләт,Ирдавлет,Irdaulat,Irdavlet,zags_2025,ev_0004252,active,given,false
ttn_012821,surname,male,Ирдәүләтов,Ирдавлетов,Irdaulatov,Irdavletov,zags_2025,ev_0014201,active,surname,false
ttn_012822,surname,female,Ирдәүләтова,Ирдавлетова,Irdaulatova,Irdavletova,zags_2025,ev_0014202,active,surname,false
ttn_012825,given,male,Ирдан,Ирдан,Irdan,Irdan,zags_2025,ev_0004255,active,given,false
ttn_012828,surname,male,Ирданов,Ирданов,Irdanov,Irdanov,zags_2025,ev_0014203,active,surname,false
ttn_012829,surname,female,Ирданова,Ирданова,Irdanova,Irdanova,zags_2025,ev_0014204,active,surname,false
ttn_012837,given,male,Ирек,Ирек,Irek,Irek,zags_2025,ev_0004258,active,given,false
ttn_012840,surname,male,Иреков,Иреков,Irekov,Irekov,zags_2025,ev_0014205,active,surname,false
ttn_012841,surname,female,Ирекова,Ирекова,Irekova,Irekova,zags_2025,ev_0014206,active,surname,false
ttn_012844,given,male,Ирзаһит,Ирзахит,Irzahit,Irzakhit,zags_2025,ev_0004261,active,given,false
ttn_012845,surname,male,Ирзаһитов,Ирзахитов,Irzahitov,Irzakhitov,zags_2025,ev_0014207,active,surname,false
ttn_012846,surname,female,Ирзаһитова,Ирзахитова,Irzahitova,Irzakhitova,zags_2025,ev_0014208,active,surname,false
ttn_012854,given,female,Ирида,Ирида,Irida,Irida,zags_2025,ev_0010166,active,given,false
ttn_012857,given,male,Иркен,Иркен,Irken,Irken,zags_2025,ev_0004264,active,given,false
ttn_012860,surname,male,Иркенбаев,Иркенбаев,Irkenbaev,Irkenbaev,zags_2025,ev_0014209,active,surname,false
ttn_012861,surname,female,Иркенбаева,Иркенбаева,Irkenbaeva,Irkenbaeva,zags_2025,ev_0014210,active,surname,false
ttn_012864,given,male,Иркенбай,Иркенбай,Irkenbay,Irkenbai,zags_2025,ev_0004267,active,given,false
ttn_012867,given,male,Иркенбәк,Иркенбек,Irkenbak,Irkenbek,zags_2025,ev_0004270,active,given,false
ttn_012868,surname,male,Иркенбәков,Иркенбеков,Irkenbakov,Irkenbekov,zags_2025,ev_0014211,active,surname,false
ttn_012869,surname,female,Иркенбәкова,Иркенбекова,Irkenbakova,Irkenbekova,zags_2025,ev_0014212,active,surname,false
ttn_012877,surname,male,Иркенов,Иркенов,Irkenov,Irkenov,zags_2025,ev_0014213,active,surname,false
ttn_012878,surname,female,Иркенова,Иркенова,Irkenova,Irkenova,zags_2025,ev_0014214,active,surname,false
ttn_012881,given,female,Иркә,Иркя,Irka,Irkia,zags_2025,ev_0010167,active,given,false
ttn_012882,given,female,Иркәбану,Иркябану,Irkabanu,Irkiabanu,zags_2025,ev_0010168,active,given,false
ttn_012883,given,female,Иркәбикә,Иркябикя,Irkabika,Irkiabikia,zags_2025,ev_0010169,active,given,false
ttn_012884,given,female,Иркәгөл,Иркягуль,Irkagol,Irkiagul,zags_2025,ev_0010170,active,given,false
ttn_012899,given,male,Ирморат,Ирмурат,Irmorat,Irmurat,zags_2025,ev_0004273,active,given,false
ttn_012900,surname,male,Ирморатов,Ирмуратов,Irmoratov,Irmuratov,zags_2025,ev_0014215,active,surname,false
ttn_012901,surname,female,Ирморатова,Ирмуратова,Irmoratova,Irmuratova,zags_2025,ev_0014216,active,surname,false
ttn_012904,given,male,Ирморза,Ирмурза,Irmorza,Irmurza,zags_2025,ev_0004276,active,given,false
ttn_012905,surname,male,Ирморзин,Ирмурзин,Irmorzin,Irmurzin,zags_2025,ev_0014217,active,surname,false
ttn_012906,surname,female,Ирморзина,Ирмурзина,Irmorzina,Irmurzina,zags_2025,ev_0014218,active,surname,false
ttn_012909,given,male,Ирмөхәммәт,Ирмухаммет,Irmoxammat,Irmukhammet,zags_2025,ev_0004279,active,given,false
ttn_012910,surname,male,Ирмөхәммәтов,Ирмухамметов,Irmoxammatov,Irmukhammetov,zags_2025,ev_0014219,active,surname,false
ttn_012911,surname,female,Ирмөхәммәтова,Ирмухамметова,Irmoxammatova,Irmukhammetova,zags_2025,ev_0014220,active,surname,false
ttn_012914,given,male,Ирмәк,Ирмяк,Irmak,Irmiak,zags_2025,ev_0004282,active,given,false
ttn_012915,surname,male,Ирмәков,Ирмяков,Irmakov,Irmiakov,zags_2025,ev_0014221,active,surname,false
ttn_012916,surname,female,Ирмәкова,Ирмякова,Irmakova,Irmiakova,zags_2025,ev_0014222,active,surname,false
ttn_012929,given,male,Ирназар,Ирназар,Irnazar,Irnazar,zags_2025,ev_0004285,active,given,false
ttn_012932,surname,male,Ирназаров,Ирназаров,Irnazarov,Irnazarov,zags_2025,ev_0014223,active,surname,false
ttn_012933,surname,female,Ирназарова,Ирназарова,Irnazarova,Irnazarova,zags_2025,ev_0014224,active,surname,false
ttn_012936,given,male,Ирнас,Ирнас,Irnas,Irnas,zags_2025,ev_0004288,active,given,false
ttn_012939,surname,male,Ирнасов,Ирнасов,Irnasov,Irnasov,zags_2025,ev_0014225,active,surname,false
ttn_012940,surname,female,Ирнасова,Ирнасова,Irnasova,Irnasova,zags_2025,ev_0014226,active,surname,false
ttn_012943,given,male,Ирсәет,Ирсаит,Irsaet,Irsait,zags_2025,ev_0004291,active,given,false
ttn_012944,surname,male,Ирсәетов,Ирсаитов,Irsaetov,Irsaitov,zags_2025,ev_0014227,active,surname,false
ttn_012945,surname,female,Ирсәетова,Ирсаитова,Irsaetova,Irsaitova,zags_2025,ev_0014228,active,surname,false
ttn_012948,surname,male,Ирсубаев,Ирсубаев,Irsubaev,Irsubaev,zags_2025,ev_0014229,active,surname,false
ttn_012949,surname,female,Ирсубаева,Ирсубаева,Irsubaeva,Irsubaeva,zags_2025,ev_0014230,active,surname,false
ttn_012952,given,male,Ирсубай,Ирсубай,Irsubay,Irsubai,zags_2025,ev_0004294,active,given,false
ttn_012960,given,male,Иртуган,Иртуган,Irtugan,Irtugan,zags_2025,ev_0004297,active,given,false
ttn_012963,surname,male,Иртуганов,Иртуганов,Irtuganov,Irtuganov,zags_2025,ev_0014231,active,surname,false
ttn_012964,surname,female,Иртуганова,Иртуганова,Irtuganova,Irtuganova,zags_2025,ev_0014232,active,surname,false
ttn_012967,given,male,Ирфан,Ирфан,Irfan,Irfan,zags_2025,ev_0004300,active,given,false
ttn_012970,surname,male,Ирфанов,Ирфанов,Irfanov,Irfanov,zags_2025,ev_0014233,active,surname,false
ttn_012971,surname,female,Ирфанова,Ирфанова,Irfanova,Irfanova,zags_2025,ev_0014234,active,surname,false
ttn_012974,given,male,Ирхан,Ирхан,Irxan,Irkhan,zags_2025,ev_0004303,active,given,false
ttn_012977,surname,male,Ирханов,Ирханов,Irxanov,Irkhanov,zags_2025,ev_0014235,active,surname,false
