review_id,subject_kind,subject_id,queue_reason,suggested_relation,source_id,evidence_id,notes
rq_0000177,excluded_entity,ttn_000480,generated_patronymic,review_candidate,zags_2025,ev_0000228,patronymic
rq_0000178,excluded_entity,ttn_000485,generated_patronymic,review_candidate,zags_2025,ev_0000233,patronymic
rq_0000179,excluded_entity,ttn_000486,generated_patronymic,review_candidate,zags_2025,ev_0000234,patronymic
rq_0000180,excluded_entity,ttn_000490,generated_patronymic,review_candidate,zags_2025,ev_0000236,patronymic
rq_0000181,excluded_entity,ttn_000491,generated_patronymic,review_candidate,zags_2025,ev_0000237,patronymic
rq_0000182,excluded_entity,ttn_000494,generated_patronymic,review_candidate,zags_2025,ev_0000230,patronymic
rq_0000183,excluded_entity,ttn_000495,generated_patronymic,review_candidate,zags_2025,ev_0000231,patronymic
rq_0000184,excluded_entity,ttn_000499,generated_patronymic,review_candidate,zags_2025,ev_0000239,patronymic
rq_0000185,excluded_entity,ttn_000500,generated_patronymic,review_candidate,zags_2025,ev_0000240,patronymic
rq_0000186,excluded_entity,ttn_000502,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000187,excluded_entity,ttn_000503,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000188,excluded_entity,ttn_000509,generated_patronymic,review_candidate,zags_2025,ev_0000242,patronymic
rq_0000189,excluded_entity,ttn_000510,generated_patronymic,review_candidate,zags_2025,ev_0000243,patronymic
rq_0000190,excluded_entity,ttn_000514,generated_patronymic,review_candidate,zags_2025,ev_0000245,patronymic
rq_0000191,excluded_entity,ttn_000515,generated_patronymic,review_candidate,zags_2025,ev_0000246,patronymic
rq_0000192,excluded_entity,ttn_000519,generated_patronymic,review_candidate,zags_2025,ev_0000248,patronymic
rq_0000193,excluded_entity,ttn_000520,generated_patronymic,review_candidate,zags_2025,ev_0000249,patronymic
rq_0000194,excluded_entity,ttn_000521,missing_tatar_canonical,review_candidate,tatar_unified_bootstrap,,bootstrap
rq_0000195,excluded_entity,ttn_000526,generated_patronymic,review_candidate,zags_2025,ev_0000254,patronymic
rq_0000196,excluded_entity,ttn_000527,generated_patronymic,review_candidate,zags_2025,ev_0000255,patronymic
rq_0000197,excluded_entity,ttn_000531,generated_patronymic,review_candidate,zags_2025,ev_0000257,patronymic
rq_0000198,excluded_entity,ttn_000532,generated_patronymic,review_candidate,zags_2025,ev_0000258,patronymic
rq_0000199,excluded_entity,ttn_000535,generated_patronymic,review_candidate,zags_2025,ev_0000251,patronymic
rq_0000200,excluded_entity,ttn_000536,generated_patronymic,review_candidate,zags_2025,ev_0000252,patronymic
rq_0000201,excluded_entity,ttn_000540,generated_patronymic,review_candidate,zags_2025,ev_0000260,patronymic
rq_0000202,excluded_entity,ttn_000541,generated_patronymic,review_candidate,zags_2025,ev_0000261,patronymic
