name_id,entity_type,gender,origin_family,usage_community,canonical_tt_cyrl,canonical_ru_cyrl,canonical_tt_latn,canonical_ru_latn,primary_form_global,primary_form_tt,primary_form_ru,source_id,source_row,status,notes
ttn_011065,given,male,unknown,tatar_registry,Зыяф,Зияф,Zyyaf,Ziiaf,Зияф,Зыяф,Зияф,zags_2025,ev_0003799,active,given
ttn_011066,given,male,unknown,tatar_registry,Зыяфәт,Зияфат,Zyyafat,Ziiafat,Зияфат,Зыяфәт,Зияфат,zags_2025,ev_0003802,active,given
ttn_011067,surname,male,unknown,tatar_registry,Зыяфәтов,Зияфатов,Zyyafatov,Ziiafatov,Зияфатов,Зыяфәтов,Зияфатов,zags_2025,ev_0013899,active,surname
ttn_011068,surname,female,unknown,tatar_registry,Зыяфәтова,Зияфатова,Zyyafatova,Ziiafatova,Зияфатова,Зыяфәтова,Зияфатова,zags_2025,ev_0013900,active,surname
ttn_011071,given,male,unknown,tatar_registry,Зыяфетдин,Зияфетдин,Zyyafetdin,Ziiafetdin,Зияфетдин,Зыяфетдин,Зияфетдин,zags_2025,ev_0003805,active,given
ttn_011072,surname,male,unknown,tatar_registry,Зыяфетдинов,Зияфетдинов,Zyyafetdinov,Ziiafetdinov,Зияфетдинов,Зыяфетдинов,Зияфетдинов,zags_2025,ev_0013901,active,surname
ttn_011073,surname,female,unknown,tatar_registry,Зыяфетдинова,Зияфетдинова,Zyyafetdinova,Ziiafetdinova,Зияфетдинова,Зыяфетдинова,Зияфетдинова,zags_2025,ev_0013902,active,surname
ttn_011076,surname,male,unknown,tatar_registry,Зыяфов,Зияфов,Zyyafov,Ziiafov,Зияфов,Зыяфов,Зияфов,zags_2025,ev_0013903,active,surname
ttn_011077,surname,female,unknown,tatar_registry,Зыяфова,Зияфова,Zyyafova,Ziiafova,Зияфова,Зыяфова,Зияфова,zags_2025,ev_0013904,active,surname
ttn_011080,given,male,unknown,tatar_registry,Зыяхан,Зияхан,Zyyaxan,Ziiakhan,Зияхан,Зыяхан,Зияхан,zags_2025,ev_0003808,active,given
